,44
Vida Perrin,1
Albert Phillips,1
Joseph Lertora,1
"Ishikawa Brothers, Japan's Noted Hand Equilibrists",1
Jas. T. Duffy and Mercedes Lorenze,1
"Lancton, Lucier and Company, Assisted by Eddie Allen",1
"Bryan Lee and Mary Cranston, The Chauncey Olott of Vaudeville, and the Dainty Doll Comedienne",1
"Aileen Stanley, Queen of Character Singers",1
"The Parshleys, Musical Duo",1
Master Gabriel and Company   ,1
"Trixie Friganza, Buxom, Blithesome, Brilliant, America's Favorite Comedienne",1
"Dare Brothers, Athletic Accuracy",1
"De Haven, Nice and De Haven, Featuring The Tango-Footed Monkey Wrench Dance",1
"Marie Shaw, Operatic Soprano",1
Ed. Flanagan and Neely Edwards,1
Carl McCullough,1
Apdale's Zoological Circus,1
Fred J. Ardath,1
Charles Conklin,1
Joe Lyons,1
Fern Marshall,1
Jack Ardath,1
Muriel Arlington,1
Mme. Liane Doree,1
Saul Roselle,1
Mme. Johanna Kristoffy,1
Sig. Raimondo Scala,1
Sig. Raoul Romito,1
"Karl Grees, Lightning Oil Painter",1
"Monty and Dot, In ""Bits of Everything""",1
The Three Collegians,1
Emmet Devoy and Company,1
"Rita Boland and Lou Holtz, Elsie Janis' Proteges, Offering a Few of Miss Janis' Ideas",1
"Joe Morris and Charlie Allen, The Comedians With The Pipes",1
Erwin and Jane Connelly,1
"Nellie V. Nichols, Songstress Comedienne",1
"Leo Zarrel and Company, Entertainers of Merit",1
J. Hugh Fish,1
Eddie O'Rell,1
Frank P. Crumit,1
William A. Galpen,1
Alma Moore,1
R. Addis,1
Zeta McDonough,1
Nettie C. Coburn,1
Ethel Adamson,1
Beth Hippler,1
Bob Raymond,1
Fredrika Slemons,1
Margaret Templeton,1
Fred McGuirk,1
Adelaide Lovenberg,1
Emile Collins,1
Charles Connor,1
Sam Carman,1
Jack Conley,1
Norine Carman,1
"Adelaide Herrmann, As ""Cagliostro,"" The Master of Mysteries",1
"Paul Nevins and Ruby Erwood, ""The Coal Man and the Maid""",1
Norine Carman's All-Star Minstrels,1
Louis Mann and Company,1
"Lydia Barry, The Comedienne of Quality",1
"Montague's Cockatoos, Wonderful Feathered Actors",1
"Master Dave Schooler and Louise Dickinson, the Youthful Prodigies, In a Miniature Musicale",1
"Polzin Brothers, Acrobatic Comedians",1
"Gertrude Holmes and Robert Buchanan, In Songs Old and New",1
"Al Rayno's Bull Dogs, Bully Comedians",1
"Chick Sale, Comedy Protean Entertainer, Presenting his Conception of a Country School Entertainment",1
"Herzog's Eight Russian Stallions, The Celebrated Equine Novelty",1
"Belle Story, The Dainty Singer of Sweet Songs",1
Jack Claire,1
Mons. Marcel,1
"Morris Golden, ""The Yiddle With The Fiddle"" and Grace De Wintres, In ""A Ventriloquial Surprise""",1
Mae Melville and Robert Higgins,1
"Clara Ballerini, European Novelty Artist",1
"Bowers, Walters and Crooker",1
"Elida Morris, The Singing Comedienne",1
"Lockett and Waldron, the Dancing Duo",1
"Imhof, Conn and Coreene",1
Paul La Croix,1
George Baldwin,1
Frank Walters,1
Hugh L. Conn,1
Edward Bowers,1
Roger Imhof,1
"Joseph E. Howard and Mabel McCane, The Composer and the Charming Vocalist and Comedienne",1
"The Belleclaire Brothers, Internationally-Famed Athletes",1
"Will Rogers, The Oklahoma Cowboy",1
Sam Mann And His Associate Players,1
"Florenze Tempest, ""Our American Boy""",1
Irene Timmons and Company,1
"Consul and His Adopted Daughter, Appearing in a Simian Pantomimic Comedy",1
"Dora Pelletier, The Singing Comedienne",1
"Lewis and Dody, The Two Sams",1
Sam Mann,1
Eva Leigh,1
Tony Ryan,1
Jack Delman,1
Harry Wilson,1
Harry F. Gilbert,1
Leighton Stark,1
Irene Timmons,1
Bertine Robinson,1
Joseph Roberts,1
Fred Burton,1
Clifford Dempsey,1
John Smith,1
Harry Goodwin,1
John P. Coleman,1
Taylor Granville,1
"Winsor McCay, Creator of ""Little Nemo""",1
Miss Cheridah Simpson,1
Jim Diamond and Sybil Brennan,1
"Hugh McCormack and Grace Wallace, In Their Ventriloquial Offering",1
Taylor Granville and Laura Pierpont,1
"Emerson and Baldwin, the Club Juggling Comedians",1
"Sansone and Delila, Sensational Gymnasts",1
