Thomas Gray,1
Raymond Walker,1
Piano,1
O.W. Wuertz,1
Numbers,1
Musical Instruments,1
C.G. Conn,1
Frank Liague,1
Jay G. Sims,1
Trombone,1
Wm. Hlavac,1
Monster Tuba,1
Paul M. Brown,1
Euphoneum,1
Arthur Black,1
Miss Shone's Costumes,1
Clarice,1
Scnery,1
Glasel & Co.,1
Miss Seeley's costumes,1
Madame Frances,1
Diretors,1
William J Wilson,1
J C Huffman,1
Production manager,1
R. H. Burnside,1
Carl Weizelbaum,1
General Press Representative for Cohan & Harris,1
Manager with the Raymond Hitchcock Co.,1
Stage Manager with the Raymond Hitchcock Co.,1
Master Electrician with the Raymond Hitchcock Co.,1
Mr. E. Pinelli,1
Madame Goulette,1
E. D. Bauer,1
Asst. Property Master,1
George Millta,1
Harry Mitchell,1
Harrie Johnson,1
Charles McClintock,1
George Totten Smith,1
Armand Kalisz,1
Oscar Frederickson,1
Mr. R. B. Richards,1
Dodd Ackermann,1
Lee Lash Studio,1
J. Huntly Garvy,1
"Orchestra Conductor for ""The Beauties""",1
Business Manager for Jesse L. Lasky Company,1
Bert Kalmar,1
Amos J. Myers,1
Grace Warren,1
Charles Burton,1
Book/Lyrics,1
William LeBaron,1
Theatre Owner,1
James A. Peppard,1
Harry A. Bailey,1
Bronx Operating Co.,1
Asst General Manager,1
J. J. Maloney,1
"Billy ""Swede"" Hall and Company",1
Aquatic Director,1
Sam Mahoney,1
John W. Crowley,1
Wm. A. Brady,1
Color Schemes selector,1
Farm Costumes,1
Bert Angeles,1
Joseph A. Golden,1
Joseph Hayden,1
Owner,1
"Producer of ""The Villain Still Pursued Her""",1
Time,1
United Booking Office,1
Pawn Tickets,1
Simpson,1
Perfume Extract de Porcine,1
Armour & Co.,1
Hats and Gowns,1
F.W. Woolworth Co.,1
Lewis Wolf,1
Samuel Tauber,1
Ass't. General Manager,1
J.J. Maloney,1
W. W. Jacobs and H. N. Sargent,1
Musical Directess,1
Harry Tate,1
Fred Turner,1
Blanche Merrill,1
Madame Estella,1
Dave Stampfer,1
H.N. Sargent,1
W.W. Jacobs,1
Representative for Mr. Fields,1
Marie Doran,1
Miss Bergere,1
Mme. Bacon,1
Conductor of Bronx Theatre Orchestra,1
Edw. Blondell and Company,1
Matthews and Alshayne,1
John P. Wade,1
Treasurer for William Morris,1
General Press Representative for William Morris,1
Secretary for William Morris,1
M. M. Wagner,1
Walter Browne,1
Irene Berge,1
I. W. Hope,1
John McKee,1
Ass't Stage Manager,1
Theodore Wilde,1
Assistant Mechanic,1
Claud Doane,1
Flyman,1
Frank Colbert,1
Thomas Little,1
Assistant Master of Properties,1
Clarence Deuell,1
Jerry Simpson,1
Robert Stanton,1
Mrs. S. Randolph,1
E. Ray Goetz and A. Baldwin Sloane,1
William Redfield and Hilding Anderson,1
Gown Fabricators,1
Mme. M. Smith and Kate Gallagher,1
General Manager for Lew Fields,1
"Representative with ""The Sun Dodgers"" Company",1
John P. Toehey,1
Clyde Hall,1
Ben Quatrochi,1
Miss Annette Barclay,1
